ActivityMinute,Calories
10/1/2017 12:00:00 AM,1.14909994602203
10/1/2017 12:01:00 AM,1.14909994602203
10/1/2017 12:02:00 AM,1.14909994602203
10/1/2017 12:03:00 AM,1.14909994602203
10/1/2017 12:04:00 AM,1.26400995254517
10/1/2017 12:05:00 AM,2.98765993118286
10/1/2017 12:06:00 AM,1.14909994602203
10/1/2017 12:07:00 AM,1.14909994602203
10/1/2017 12:08:00 AM,1.14909994602203
10/1/2017 12:09:00 AM,1.14909994602203
10/1/2017 12:10:00 AM,1.14909994602203
10/1/2017 12:11:00 AM,1.14909994602203
10/1/2017 12:12:00 AM,1.14909994602203
10/1/2017 12:13:00 AM,1.14909994602203
10/1/2017 12:14:00 AM,1.14909994602203
10/1/2017 12:15:00 AM,1.14909994602203
10/1/2017 12:16:00 AM,1.14909994602203
10/1/2017 12:17:00 AM,1.14909994602203
10/1/2017 12:18:00 AM,1.14909994602203
10/1/2017 12:19:00 AM,1.14909994602203
10/1/2017 12:20:00 AM,1.14909994602203
10/1/2017 12:21:00 AM,1.14909994602203
10/1/2017 12:22:00 AM,1.14909994602203
10/1/2017 12:23:00 AM,1.14909994602203
10/1/2017 12:24:00 AM,1.14909994602203
10/1/2017 12:25:00 AM,1.14909994602203
10/1/2017 12:26:00 AM,1.14909994602203
10/1/2017 12:27:00 AM,1.14909994602203
10/1/2017 12:28:00 AM,1.14909994602203
10/1/2017 12:29:00 AM,1.14909994602203
10/1/2017 12:30:00 AM,1.14909994602203
10/1/2017 12:31:00 AM,1.14909994602203
10/1/2017 12:32:00 AM,1.14909994602203
10/1/2017 12:33:00 AM,1.26400995254517
10/1/2017 12:34:00 AM,1.14909994602203
10/1/2017 12:35:00 AM,1.14909994602203
10/1/2017 12:36:00 AM,1.14909994602203
10/1/2017 12:37:00 AM,1.14909994602203
10/1/2017 12:38:00 AM,1.14909994602203
10/1/2017 12:39:00 AM,1.14909994602203
10/1/2017 12:40:00 AM,1.14909994602203
10/1/2017 12:41:00 AM,1.14909994602203
10/1/2017 12:42:00 AM,1.14909994602203
10/1/2017 12:43:00 AM,1.14909994602203
10/1/2017 12:44:00 AM,1.14909994602203
10/1/2017 12:45:00 AM,1.14909994602203
10/1/2017 12:46:00 AM,1.14909994602203
10/1/2017 12:47:00 AM,1.14909994602203
10/1/2017 12:48:00 AM,1.14909994602203
10/1/2017 12:49:00 AM,1.14909994602203
10/1/2017 12:50:00 AM,1.14909994602203
10/1/2017 12:51:00 AM,1.14909994602203
10/1/2017 12:52:00 AM,1.14909994602203
10/1/2017 12:53:00 AM,2.7578399181366
10/1/2017 12:54:00 AM,1.14909994602203
10/1/2017 12:55:00 AM,1.14909994602203
10/1/2017 12:56:00 AM,1.14909994602203
10/1/2017 12:57:00 AM,1.14909994602203
10/1/2017 12:58:00 AM,1.14909994602203
10/1/2017 12:59:00 AM,1.14909994602203
10/1/2017 1:00:00 AM,1.14909994602203
10/1/2017 1:01:00 AM,1.14909994602203
10/1/2017 1:02:00 AM,1.26400995254517
10/1/2017 1:03:00 AM,1.14909994602203
10/1/2017 1:04:00 AM,1.14909994602203
10/1/2017 1:05:00 AM,1.14909994602203
10/1/2017 1:06:00 AM,1.14909994602203
10/1/2017 1:07:00 AM,1.14909994602203
10/1/2017 1:08:00 AM,1.14909994602203
10/1/2017 1:09:00 AM,1.14909994602203
10/1/2017 1:10:00 AM,1.14909994602203
10/1/2017 1:11:00 AM,1.14909994602203
10/1/2017 1:12:00 AM,1.14909994602203
10/1/2017 1:13:00 AM,1.14909994602203
10/1/2017 1:14:00 AM,1.14909994602203
10/1/2017 1:15:00 AM,1.14909994602203
10/1/2017 1:16:00 AM,1.14909994602203
10/1/2017 1:17:00 AM,1.14909994602203
10/1/2017 1:18:00 AM,1.26400995254517
10/1/2017 1:19:00 AM,1.14909994602203
10/1/2017 1:20:00 AM,2.7578399181366
10/1/2017 1:21:00 AM,1.14909994602203
10/1/2017 1:22:00 AM,1.14909994602203
10/1/2017 1:23:00 AM,1.14909994602203
10/1/2017 1:24:00 AM,1.14909994602203
10/1/2017 1:25:00 AM,1.14909994602203
10/1/2017 1:26:00 AM,1.14909994602203
10/1/2017 1:27:00 AM,1.14909994602203
10/1/2017 1:28:00 AM,1.14909994602203
10/1/2017 1:29:00 AM,1.14909994602203
10/1/2017 1:30:00 AM,1.14909994602203
10/1/2017 1:31:00 AM,1.14909994602203
10/1/2017 1:32:00 AM,1.14909994602203
10/1/2017 1:33:00 AM,1.14909994602203
10/1/2017 1:34:00 AM,1.14909994602203
10/1/2017 1:35:00 AM,1.14909994602203
10/1/2017 1:36:00 AM,1.14909994602203
10/1/2017 1:37:00 AM,1.14909994602203
10/1/2017 1:38:00 AM,1.14909994602203
10/1/2017 1:39:00 AM,1.14909994602203
10/1/2017 1:40:00 AM,1.14909994602203
10/1/2017 1:41:00 AM,1.14909994602203
10/1/2017 1:42:00 AM,1.14909994602203
10/1/2017 1:43:00 AM,1.14909994602203
10/1/2017 1:44:00 AM,1.14909994602203
10/1/2017 1:45:00 AM,1.14909994602203
10/1/2017 1:46:00 AM,1.14909994602203
10/1/2017 1:47:00 AM,1.14909994602203
10/1/2017 1:48:00 AM,1.14909994602203
10/1/2017 1:49:00 AM,1.14909994602203
10/1/2017 1:50:00 AM,1.14909994602203
10/1/2017 1:51:00 AM,1.14909994602203
10/1/2017 1:52:00 AM,1.14909994602203
10/1/2017 1:53:00 AM,1.14909994602203
10/1/2017 1:54:00 AM,1.14909994602203
10/1/2017 1:55:00 AM,1.14909994602203
10/1/2017 1:56:00 AM,1.14909994602203
10/1/2017 1:57:00 AM,1.14909994602203
10/1/2017 1:58:00 AM,1.14909994602203
10/1/2017 1:59:00 AM,1.14909994602203
10/1/2017 2:00:00 AM,1.14909994602203
10/1/2017 2:01:00 AM,1.14909994602203
10/1/2017 2:02:00 AM,1.14909994602203
10/1/2017 2:03:00 AM,1.14909994602203
10/1/2017 2:04:00 AM,2.7578399181366
10/1/2017 2:05:00 AM,1.26400995254517
10/1/2017 2:06:00 AM,1.14909994602203
10/1/2017 2:07:00 AM,1.14909994602203
10/1/2017 2:08:00 AM,1.14909994602203
10/1/2017 2:09:00 AM,1.14909994602203
10/1/2017 2:10:00 AM,1.14909994602203
10/1/2017 2:11:00 AM,1.14909994602203
10/1/2017 2:12:00 AM,1.14909994602203
10/1/2017 2:13:00 AM,1.14909994602203
10/1/2017 2:14:00 AM,1.14909994602203
10/1/2017 2:15:00 AM,1.14909994602203
10/1/2017 2:16:00 AM,1.14909994602203
10/1/2017 2:17:00 AM,1.14909994602203
10/1/2017 2:18:00 AM,1.14909994602203
10/1/2017 2:19:00 AM,1.14909994602203
10/1/2017 2:20:00 AM,1.14909994602203
10/1/2017 2:21:00 AM,1.14909994602203
10/1/2017 2:22:00 AM,1.14909994602203
10/1/2017 2:23:00 AM,1.26400995254517
10/1/2017 2:24:00 AM,1.14909994602203
10/1/2017 2:25:00 AM,1.14909994602203
10/1/2017 2:26:00 AM,1.14909994602203
10/1/2017 2:27:00 AM,1.14909994602203
10/1/2017 2:28:00 AM,1.14909994602203
10/1/2017 2:29:00 AM,1.14909994602203
10/1/2017 2:30:00 AM,1.14909994602203
10/1/2017 2:31:00 AM,1.14909994602203
10/1/2017 2:32:00 AM,1.14909994602203
10/1/2017 2:33:00 AM,1.14909994602203
10/1/2017 2:34:00 AM,1.14909994602203
10/1/2017 2:35:00 AM,1.14909994602203
10/1/2017 2:36:00 AM,1.14909994602203
10/1/2017 2:37:00 AM,1.14909994602203
10/1/2017 2:38:00 AM,1.14909994602203
10/1/2017 2:39:00 AM,1.14909994602203
10/1/2017 2:40:00 AM,1.14909994602203
10/1/2017 2:41:00 AM,1.14909994602203
10/1/2017 2:42:00 AM,1.14909994602203
10/1/2017 2:43:00 AM,1.14909994602203
10/1/2017 2:44:00 AM,1.14909994602203
10/1/2017 2:45:00 AM,1.14909994602203
10/1/2017 2:46:00 AM,1.14909994602203
10/1/2017 2:47:00 AM,1.14909994602203
10/1/2017 2:48:00 AM,1.14909994602203
10/1/2017 2:49:00 AM,1.14909994602203
10/1/2017 2:50:00 AM,1.14909994602203
10/1/2017 2:51:00 AM,1.14909994602203
10/1/2017 2:52:00 AM,1.14909994602203
10/1/2017 2:53:00 AM,1.14909994602203
10/1/2017 2:54:00 AM,1.14909994602203
10/1/2017 2:55:00 AM,1.14909994602203
10/1/2017 2:56:00 AM,1.14909994602203
10/1/2017 2:57:00 AM,1.14909994602203
10/1/2017 2:58:00 AM,1.14909994602203
10/1/2017 2:59:00 AM,1.14909994602203
10/1/2017 3:00:00 AM,1.14909994602203
10/1/2017 3:01:00 AM,1.14909994602203
10/1/2017 3:02:00 AM,1.14909994602203
10/1/2017 3:03:00 AM,1.14909994602203
10/1/2017 3:04:00 AM,1.14909994602203
10/1/2017 3:05:00 AM,1.14909994602203
10/1/2017 3:06:00 AM,1.14909994602203
10/1/2017 3:07:00 AM,1.14909994602203
10/1/2017 3:08:00 AM,1.14909994602203
10/1/2017 3:09:00 AM,1.14909994602203
10/1/2017 3:10:00 AM,1.14909994602203
10/1/2017 3:11:00 AM,1.14909994602203
10/1/2017 3:12:00 AM,1.14909994602203
10/1/2017 3:13:00 AM,1.14909994602203
10/1/2017 3:14:00 AM,1.14909994602203
10/1/2017 3:15:00 AM,1.14909994602203
10/1/2017 3:16:00 AM,1.14909994602203
10/1/2017 3:17:00 AM,1.14909994602203
10/1/2017 3:18:00 AM,1.14909994602203
10/1/2017 3:19:00 AM,1.14909994602203
10/1/2017 3:20:00 AM,1.14909994602203
10/1/2017 3:21:00 AM,1.14909994602203
10/1/2017 3:22:00 AM,1.14909994602203
10/1/2017 3:23:00 AM,1.26400995254517
10/1/2017 3:24:00 AM,1.14909994602203
10/1/2017 3:25:00 AM,1.14909994602203
10/1/2017 3:26:00 AM,1.14909994602203
10/1/2017 3:27:00 AM,1.14909994602203
10/1/2017 3:28:00 AM,1.14909994602203
10/1/2017 3:29:00 AM,1.14909994602203
10/1/2017 3:30:00 AM,1.14909994602203
10/1/2017 3:31:00 AM,1.14909994602203
10/1/2017 3:32:00 AM,1.14909994602203
10/1/2017 3:33:00 AM,1.14909994602203
10/1/2017 3:34:00 AM,1.14909994602203
10/1/2017 3:35:00 AM,1.14909994602203
10/1/2017 3:36:00 AM,1.14909994602203
10/1/2017 3:37:00 AM,1.14909994602203
10/1/2017 3:38:00 AM,1.14909994602203
10/1/2017 3:39:00 AM,1.26400995254517
10/1/2017 3:40:00 AM,1.14909994602203
10/1/2017 3:41:00 AM,1.14909994602203
10/1/2017 3:42:00 AM,1.26400995254517
10/1/2017 3:43:00 AM,1.14909994602203
10/1/2017 3:44:00 AM,1.14909994602203
10/1/2017 3:45:00 AM,1.14909994602203
10/1/2017 3:46:00 AM,1.14909994602203
10/1/2017 3:47:00 AM,1.14909994602203
10/1/2017 3:48:00 AM,1.26400995254517
10/1/2017 3:49:00 AM,1.14909994602203
10/1/2017 3:50:00 AM,1.14909994602203
10/1/2017 3:51:00 AM,1.14909994602203
10/1/2017 3:52:00 AM,1.14909994602203
10/1/2017 3:53:00 AM,1.14909994602203
10/1/2017 3:54:00 AM,1.14909994602203
10/1/2017 3:55:00 AM,1.14909994602203
10/1/2017 3:56:00 AM,1.14909994602203
10/1/2017 3:57:00 AM,1.14909994602203
10/1/2017 3:58:00 AM,1.14909994602203
10/1/2017 3:59:00 AM,1.14909994602203
10/1/2017 4:00:00 AM,1.14909994602203
10/1/2017 4:01:00 AM,1.14909994602203
10/1/2017 4:02:00 AM,1.14909994602203
10/1/2017 4:03:00 AM,1.14909994602203
10/1/2017 4:04:00 AM,1.14909994602203
10/1/2017 4:05:00 AM,1.14909994602203
10/1/2017 4:06:00 AM,1.14909994602203
10/1/2017 4:07:00 AM,1.14909994602203
10/1/2017 4:08:00 AM,1.14909994602203
10/1/2017 4:09:00 AM,1.14909994602203
10/1/2017 4:10:00 AM,1.14909994602203
10/1/2017 4:11:00 AM,1.14909994602203
10/1/2017 4:12:00 AM,1.14909994602203
10/1/2017 4:13:00 AM,1.14909994602203
10/1/2017 4:14:00 AM,1.14909994602203
10/1/2017 4:15:00 AM,1.14909994602203
10/1/2017 4:16:00 AM,1.14909994602203
10/1/2017 4:17:00 AM,1.14909994602203
10/1/2017 4:18:00 AM,1.14909994602203
10/1/2017 4:19:00 AM,1.14909994602203
10/1/2017 4:20:00 AM,1.14909994602203
10/1/2017 4:21:00 AM,1.14909994602203
10/1/2017 4:22:00 AM,1.14909994602203
10/1/2017 4:23:00 AM,1.14909994602203
10/1/2017 4:24:00 AM,1.14909994602203
10/1/2017 4:25:00 AM,1.26400995254517
10/1/2017 4:26:00 AM,1.14909994602203
10/1/2017 4:27:00 AM,1.14909994602203
10/1/2017 4:28:00 AM,1.14909994602203
10/1/2017 4:29:00 AM,1.14909994602203
10/1/2017 4:30:00 AM,1.14909994602203
10/1/2017 4:31:00 AM,1.14909994602203
10/1/2017 4:32:00 AM,1.14909994602203
10/1/2017 4:33:00 AM,1.14909994602203
10/1/2017 4:34:00 AM,1.14909994602203
10/1/2017 4:35:00 AM,1.14909994602203
10/1/2017 4:36:00 AM,1.14909994602203
10/1/2017 4:37:00 AM,1.14909994602203
10/1/2017 4:38:00 AM,1.14909994602203
10/1/2017 4:39:00 AM,1.14909994602203
10/1/2017 4:40:00 AM,1.14909994602203
10/1/2017 4:41:00 AM,1.14909994602203
10/1/2017 4:42:00 AM,1.14909994602203
10/1/2017 4:43:00 AM,1.14909994602203
